latitude,longitude,SPI
5.625,75.375,NaN
5.625,75.625,NaN
5.625,75.875,NaN
5.625,76.125,NaN
5.625,76.375,NaN
5.625,76.625,NaN
5.625,76.875,NaN
5.625,77.125,NaN
5.625,77.375,NaN
5.625,77.625,NaN
5.625,77.875,NaN
5.625,78.125,NaN
5.625,78.375,NaN
5.625,78.625,NaN
5.625,78.875,NaN
5.625,79.125,NaN
5.625,79.375,NaN
5.625,79.625,NaN
5.625,79.875,NaN
5.625,80.125,NaN
5.625,80.375,NaN
5.625,80.625,NaN
5.625,80.875,NaN
5.625,81.125,NaN
5.625,81.375,NaN
5.625,81.625,NaN
5.625,81.875,NaN
5.625,82.125,NaN
5.625,82.375,NaN
5.625,82.625,NaN
5.625,82.875,NaN
5.625,83.125,NaN
5.625,83.375,NaN
5.625,83.625,NaN
5.625,83.875,NaN
5.625,84.125,NaN
5.625,84.375,NaN
5.625,84.625,NaN
5.625,84.875,NaN
5.625,85.125,NaN
5.625,85.375,NaN
5.625,85.625,NaN
5.625,85.875,NaN
5.625,86.125,NaN
5.625,86.375,NaN
5.625,86.625,NaN
5.625,86.875,NaN
5.625,87.125,NaN
5.625,87.375,NaN
5.625,87.625,NaN
5.625,87.875,NaN
5.625,88.125,NaN
5.625,88.375,NaN
5.625,88.625,NaN
5.625,88.875,NaN
5.625,89.125,NaN
5.625,89.375,NaN
5.625,89.625,NaN
5.625,89.875,NaN
5.625,90.125,NaN
5.625,90.375,NaN
5.625,90.625,NaN
5.625,90.875,NaN
5.625,91.125,NaN
5.625,91.375,NaN
5.625,91.625,NaN
5.625,91.875,NaN
5.625,92.125,NaN
5.625,92.375,NaN
5.625,92.625,NaN
5.625,92.875,NaN
5.625,93.125,NaN
5.625,93.375,NaN
5.625,93.625,NaN
5.625,93.875,NaN
5.625,94.125,NaN
5.625,94.375,NaN
5.625,94.625,NaN
5.625,94.875,5.175620079
5.625,95.125,4.875814915
5.625,95.375,4.742015839
5.625,95.625,4.800415516
5.625,95.875,5.498880386
5.625,96.125,6.134610176
5.625,96.375,NaN
5.625,96.625,NaN
5.625,96.875,NaN
5.625,97.125,NaN
5.625,97.375,NaN
5.625,97.625,NaN
5.625,97.875,NaN
5.625,98.125,NaN
5.625,98.375,NaN
5.625,98.625,NaN
5.625,98.875,NaN
5.625,99.125,NaN
5.625,99.375,NaN
5.625,99.625,NaN
5.625,99.875,NaN
5.625,100.125,NaN
5.625,100.375,4.594266891
5.625,100.625,3.346908808
5.625,100.875,3.796078682
5.875,65.125,NaN
5.875,65.375,NaN
5.875,65.625,NaN
5.875,65.875,NaN
5.875,66.125,NaN
5.875,66.375,NaN
5.875,66.625,NaN
5.875,66.875,NaN
5.875,67.125,NaN
